entity_name,date,posts_in_day,sponsored_posts_in_day,cumulative_posts,cumulative_sponsored_posts
miroslav-kalousek,2021-05-31,2,0,318,0
petr-fiala,2021-05-31,7,2,605,69
radek-vondracek,2021-05-31,1,0,126,0
tomio-okamura,2021-05-31,5,1,1406,812
alena-schillerova,2021-05-30,2,1,467,16
andrej-babis,2021-05-30,13,0,914,52
petr-fiala,2021-05-30,1,0,598,67
tomio-okamura,2021-05-30,4,2,1401,811
vladimir-kremlik,2021-05-30,1,0,105,0
alena-schillerova,2021-05-29,11,0,465,15
andrej-babis,2021-05-29,16,0,901,52
miroslav-kalousek,2021-05-29,2,0,316,0
petr-fiala,2021-05-29,2,0,597,67
tomio-okamura,2021-05-29,5,2,1397,809
vladimir-kremlik,2021-05-29,1,0,104,0
alena-schillerova,2021-05-28,7,0,454,15
alexandra-udzenija,2021-05-28,1,0,103,0
andrej-babis,2021-05-28,10,0,885,52
martin-kupka,2021-05-28,1,0,128,3
petr-fiala,2021-05-28,4,2,595,67
radek-vondracek,2021-05-28,2,0,125,0
tomio-okamura,2021-05-28,11,8,1392,807
vladimir-kremlik,2021-05-28,1,0,103,0
alexandra-udzenija,2021-05-27,1,0,102,0
andrej-babis,2021-05-27,1,0,875,52
jan-farsky,2021-05-27,1,0,103,2
klara-dostalova,2021-05-27,1,0,87,0
martin-kupka,2021-05-27,1,1,127,3
milos-zeman,2021-05-27,1,0,126,0
miroslav-kalousek,2021-05-27,1,0,314,0
petr-fiala,2021-05-27,5,0,591,65
petr-gazdik,2021-05-27,1,0,15,0
radek-vondracek,2021-05-27,2,0,123,0
tomio-okamura,2021-05-27,9,5,1381,799
zdenek-hrib,2021-05-27,1,0,99,0
alena-schillerova,2021-05-26,2,0,447,15
andrej-babis,2021-05-26,5,0,874,52
klara-dostalova,2021-05-26,3,0,86,0
martin-kupka,2021-05-26,1,0,126,2
milos-zeman,2021-05-26,3,0,125,0
miroslav-kalousek,2021-05-26,2,0,313,0
petr-fiala,2021-05-26,3,0,586,65
tomio-okamura,2021-05-26,7,2,1372,794
zdenek-hrib,2021-05-26,1,0,98,0
alena-schillerova,2021-05-25,3,0,445,15
alexandra-udzenija,2021-05-25,1,0,101,0
andrej-babis,2021-05-25,6,0,869,52
jan-farsky,2021-05-25,2,0,102,2
klara-dostalova,2021-05-25,1,0,83,0
martin-kupka,2021-05-25,2,2,125,2
miroslav-kalousek,2021-05-25,2,0,311,0
petr-gazdik,2021-05-25,1,0,14,0
radek-vondracek,2021-05-25,1,0,121,0
tomio-okamura,2021-05-25,8,6,1365,792
zdenek-hrib,2021-05-25,1,0,97,0
alena-schillerova,2021-05-24,3,0,442,15
andrej-babis,2021-05-24,13,0,863,52
jan-farsky,2021-05-24,1,0,100,2
klara-dostalova,2021-05-24,1,0,82,0
miroslav-kalousek,2021-05-24,1,0,309,0
tomio-okamura,2021-05-24,7,1,1357,786
alena-schillerova,2021-05-23,2,0,439,15
alexandra-udzenija,2021-05-23,1,0,100,0
andrej-babis,2021-05-23,3,0,850,52
martin-kupka,2021-05-23,1,0,123,0
miroslav-kalousek,2021-05-23,1,0,308,0
petr-fiala,2021-05-23,1,0,583,65
tomio-okamura,2021-05-23,7,7,1350,785
vladimir-kremlik,2021-05-23,1,0,102,0
alena-schillerova,2021-05-22,1,1,437,15
martin-kupka,2021-05-22,1,0,122,0
miroslav-kalousek,2021-05-22,1,0,307,0
petr-fiala,2021-05-22,4,2,582,65
tomio-okamura,2021-05-22,13,10,1343,778
zdenek-hrib,2021-05-22,1,0,96,0
alena-schillerova,2021-05-21,5,0,436,14
alexandra-udzenija,2021-05-21,1,0,99,0
andrej-babis,2021-05-21,6,0,847,52
martin-kupka,2021-05-21,2,0,121,0
miroslav-kalousek,2021-05-21,2,0,306,0
petr-fiala,2021-05-21,4,2,578,63
petr-gazdik,2021-05-21,1,0,13,0
radek-vondracek,2021-05-21,1,0,120,0
tomio-okamura,2021-05-21,8,6,1330,768
zdenek-hrib,2021-05-21,1,0,95,0
alena-schillerova,2021-05-20,11,0,431,14
andrej-babis,2021-05-20,14,0,841,52
martin-kupka,2021-05-20,1,0,119,0
miroslav-kalousek,2021-05-20,1,0,304,0
petr-fiala,2021-05-20,5,2,574,61
radek-vondracek,2021-05-20,3,0,119,0
tomio-okamura,2021-05-20,6,2,1322,762
vladimir-kremlik,2021-05-20,2,0,101,0
alena-schillerova,2021-05-19,1,0,420,14
alexandra-udzenija,2021-05-19,1,0,98,0
andrej-babis,2021-05-19,8,0,827,52
jan-farsky,2021-05-19,1,0,99,2
klara-dostalova,2021-05-19,1,0,81,0
martin-kupka,2021-05-19,2,0,118,0
milos-zeman,2021-05-19,2,0,122,0
petr-fiala,2021-05-19,5,2,569,59
tomio-okamura,2021-05-19,9,6,1316,760
zdenek-hrib,2021-05-19,1,0,94,0
alena-schillerova,2021-05-18,3,0,419,14
alexandra-udzenija,2021-05-18,1,0,97,0
andrej-babis,2021-05-18,7,0,819,52
klara-dostalova,2021-05-18,2,0,80,0
martin-kupka,2021-05-18,2,0,116,0
milos-zeman,2021-05-18,4,0,120,0
miroslav-kalousek,2021-05-18,3,0,303,0
petr-fiala,2021-05-18,2,0,564,57
radek-vondracek,2021-05-18,2,0,116,0
tomio-okamura,2021-05-18,6,0,1307,754
vladimir-kremlik,2021-05-18,1,0,99,0
zdenek-hrib,2021-05-18,2,0,93,0
alena-schillerova,2021-05-17,1,0,416,14
alexandra-udzenija,2021-05-17,1,0,96,0
andrej-babis,2021-05-17,1,0,812,52
martin-kupka,2021-05-17,1,0,114,0
milos-zeman,2021-05-17,1,0,116,0
petr-fiala,2021-05-17,4,0,562,57
radek-vondracek,2021-05-17,1,0,114,0
tomio-okamura,2021-05-17,9,6,1301,754
alena-schillerova,2021-05-16,1,0,415,14
andrej-babis,2021-05-16,4,0,811,52
milos-zeman,2021-05-16,2,0,115,0
petr-fiala,2021-05-16,2,0,558,57
tomio-okamura,2021-05-16,4,1,1292,748
alena-schillerova,2021-05-15,1,0,414,14
martin-kupka,2021-05-15,1,0,113,0
petr-fiala,2021-05-15,1,0,556,57
tomio-okamura,2021-05-15,8,4,1288,747
vladimir-kremlik,2021-05-15,1,0,98,0
alena-schillerova,2021-05-14,5,1,413,14
alexandra-udzenija,2021-05-14,1,0,95,0
andrej-babis,2021-05-14,5,0,807,52
jan-farsky,2021-05-14,1,0,98,2
klara-dostalova,2021-05-14,1,0,78,0
martin-kupka,2021-05-14,1,0,112,0
milos-zeman,2021-05-14,1,0,113,0
petr-fiala,2021-05-14,3,0,555,57
radek-vondracek,2021-05-14,1,0,113,0
tomio-okamura,2021-05-14,5,1,1280,743
zdenek-hrib,2021-05-14,1,0,91,0
alena-schillerova,2021-05-13,2,0,408,13
andrej-babis,2021-05-13,2,0,802,52
jan-farsky,2021-05-13,1,0,97,2
milos-zeman,2021-05-13,1,0,112,0
miroslav-kalousek,2021-05-13,2,0,300,0
petr-fiala,2021-05-13,3,0,552,57
radek-vondracek,2021-05-13,2,0,112,0
tomio-okamura,2021-05-13,6,3,1275,742
zdenek-hrib,2021-05-13,1,0,90,0
alena-schillerova,2021-05-12,5,0,406,13
alexandra-udzenija,2021-05-12,1,0,94,0
andrej-babis,2021-05-12,7,0,800,52
jan-farsky,2021-05-12,3,0,96,2
klara-dostalova,2021-05-12,2,0,77,0
martin-kupka,2021-05-12,1,0,111,0
milos-zeman,2021-05-12,3,0,111,0
miroslav-kalousek,2021-05-12,2,0,298,0
petr-fiala,2021-05-12,8,2,549,57
radek-vondracek,2021-05-12,2,0,110,0
tomio-okamura,2021-05-12,8,5,1269,739
vladimir-kremlik,2021-05-12,1,0,97,0
zdenek-hrib,2021-05-12,2,0,89,0
alena-schillerova,2021-05-11,1,0,401,13
alexandra-udzenija,2021-05-11,3,0,93,0
andrej-babis,2021-05-11,3,3,793,52
klara-dostalova,2021-05-11,1,0,75,0
martin-kupka,2021-05-11,1,0,110,0
milos-zeman,2021-05-11,3,0,108,0
miroslav-kalousek,2021-05-11,1,0,296,0
petr-fiala,2021-05-11,3,0,541,55
radek-vondracek,2021-05-11,2,0,108,0
tomio-okamura,2021-05-11,6,2,1261,734
alena-schillerova,2021-05-10,1,0,400,13
andrej-babis,2021-05-10,1,0,790,49
martin-kupka,2021-05-10,1,0,109,0
milos-zeman,2021-05-10,4,0,105,0
miroslav-kalousek,2021-05-10,1,0,295,0
petr-fiala,2021-05-10,3,2,538,55
radek-vondracek,2021-05-10,2,0,106,0
tomio-okamura,2021-05-10,9,4,1255,732
zdenek-hrib,2021-05-10,1,0,87,0
alena-schillerova,2021-05-09,2,0,399,13
alexandra-udzenija,2021-05-09,1,0,90,0
andrej-babis,2021-05-09,9,2,789,49
milos-zeman,2021-05-09,1,0,101,0
miroslav-kalousek,2021-05-09,1,0,294,0
petr-fiala,2021-05-09,1,0,535,53
radek-vondracek,2021-05-09,2,0,104,0
tomio-okamura,2021-05-09,7,4,1246,728
alena-schillerova,2021-05-08,1,0,397,13
alexandra-udzenija,2021-05-08,1,0,89,0
andrej-babis,2021-05-08,12,0,780,47
martin-kupka,2021-05-08,1,0,108,0
milos-zeman,2021-05-08,2,0,100,0
petr-fiala,2021-05-08,3,0,534,53
radek-vondracek,2021-05-08,2,0,102,0
tomio-okamura,2021-05-08,7,5,1239,724
zdenek-hrib,2021-05-08,1,0,86,0
alena-schillerova,2021-05-07,2,0,396,13
alexandra-udzenija,2021-05-07,1,0,88,0
andrej-babis,2021-05-07,16,0,768,47
klara-dostalova,2021-05-07,1,0,74,0
petr-fiala,2021-05-07,4,2,531,53
radek-vondracek,2021-05-07,1,0,100,0
tomio-okamura,2021-05-07,9,3,1232,719
alena-schillerova,2021-05-06,3,0,394,13
alexandra-udzenija,2021-05-06,1,0,87,0
andrej-babis,2021-05-06,2,0,752,47
klara-dostalova,2021-05-06,1,0,73,0
martin-kupka,2021-05-06,3,0,107,0
petr-fiala,2021-05-06,3,2,527,51
radek-vondracek,2021-05-06,2,0,99,0
tomio-okamura,2021-05-06,10,6,1223,716
alena-schillerova,2021-05-05,3,0,391,13
alexandra-udzenija,2021-05-05,1,0,86,0
klara-dostalova,2021-05-05,3,0,72,0
milos-zeman,2021-05-05,2,0,98,0
miroslav-kalousek,2021-05-05,3,0,293,0
petr-fiala,2021-05-05,4,0,524,49
radek-vondracek,2021-05-05,2,0,97,0
tomio-okamura,2021-05-05,7,5,1213,710
vladimir-kremlik,2021-05-05,1,0,96,0
zdenek-hrib,2021-05-05,1,0,85,0
alena-schillerova,2021-05-04,2,0,388,13
alexandra-udzenija,2021-05-04,1,0,85,0
andrej-babis,2021-05-04,4,0,750,47
klara-dostalova,2021-05-04,1,0,69,0
milos-zeman,2021-05-04,1,0,96,0
miroslav-kalousek,2021-05-04,1,0,290,0
petr-fiala,2021-05-04,4,0,520,49
radek-vondracek,2021-05-04,1,0,95,0
tomio-okamura,2021-05-04,5,1,1206,705
zdenek-hrib,2021-05-04,2,0,84,0
alena-schillerova,2021-05-03,3,0,386,13
andrej-babis,2021-05-03,4,0,746,47
jan-farsky,2021-05-03,1,0,93,2
klara-dostalova,2021-05-03,1,0,68,0
martin-kupka,2021-05-03,1,0,104,0
miroslav-kalousek,2021-05-03,2,0,289,0
petr-fiala,2021-05-03,3,0,516,49
tomio-okamura,2021-05-03,8,6,1201,704
vladimir-kremlik,2021-05-03,1,0,95,0
alena-schillerova,2021-05-02,1,0,383,13
andrej-babis,2021-05-02,5,2,742,47
klara-dostalova,2021-05-02,1,0,67,0
martin-kupka,2021-05-02,1,0,103,0
petr-fiala,2021-05-02,1,0,513,49
tomio-okamura,2021-05-02,7,6,1193,698
alena-schillerova,2021-05-01,3,0,382,13
alexandra-udzenija,2021-05-01,1,0,84,0
andrej-babis,2021-05-01,1,0,737,45
klara-dostalova,2021-05-01,1,0,66,0
martin-kupka,2021-05-01,1,0,102,0
petr-fiala,2021-05-01,2,0,512,49
radek-vondracek,2021-05-01,1,0,94,0
tomio-okamura,2021-05-01,10,9,1186,692
zdenek-hrib,2021-05-01,1,0,82,0
alena-schillerova,2021-04-30,6,2,379,13
alexandra-udzenija,2021-04-30,1,0,83,0
andrej-babis,2021-04-30,6,0,736,45
klara-dostalova,2021-04-30,1,0,65,0
martin-kupka,2021-04-30,1,0,101,0
miroslav-kalousek,2021-04-30,3,0,287,0
petr-fiala,2021-04-30,5,2,510,49
tomio-okamura,2021-04-30,9,7,1176,683
alena-schillerova,2021-04-29,4,0,373,11
andrej-babis,2021-04-29,3,0,730,45
jan-farsky,2021-04-29,1,0,92,2
klara-dostalova,2021-04-29,1,0,64,0
martin-kupka,2021-04-29,1,0,100,0
miroslav-kalousek,2021-04-29,1,0,284,0
petr-fiala,2021-04-29,3,0,505,47
radek-vondracek,2021-04-29,1,0,93,0
tomio-okamura,2021-04-29,8,1,1167,676
zdenek-hrib,2021-04-29,2,0,81,0
alena-schillerova,2021-04-28,4,0,369,11
andrej-babis,2021-04-28,3,0,727,45
milos-zeman,2021-04-28,3,0,95,0
miroslav-kalousek,2021-04-28,2,0,283,0
petr-fiala,2021-04-28,4,0,502,47
tomio-okamura,2021-04-28,5,1,1159,675
vladimir-kremlik,2021-04-28,1,0,94,0
alena-schillerova,2021-04-27,3,0,365,11
alexandra-udzenija,2021-04-27,1,0,82,0
andrej-babis,2021-04-27,7,0,724,45
klara-dostalova,2021-04-27,2,0,63,0
martin-kupka,2021-04-27,1,0,99,0
milos-zeman,2021-04-27,2,0,92,0
miroslav-kalousek,2021-04-27,3,0,281,0
petr-fiala,2021-04-27,4,0,498,47
radek-vondracek,2021-04-27,1,0,92,0
tomio-okamura,2021-04-27,7,2,1154,674
zdenek-hrib,2021-04-27,1,0,79,0
alena-schillerova,2021-04-26,3,0,362,11
andrej-babis,2021-04-26,7,0,717,45
jan-farsky,2021-04-26,1,0,91,2
klara-dostalova,2021-04-26,1,0,61,0
martin-kupka,2021-04-26,1,0,98,0
milos-zeman,2021-04-26,2,0,90,0
miroslav-kalousek,2021-04-26,2,0,278,0
petr-fiala,2021-04-26,3,2,494,47
tomio-okamura,2021-04-26,6,3,1147,672
vladimir-kremlik,2021-04-26,1,0,93,0
alena-schillerova,2021-04-25,2,0,359,11
andrej-babis,2021-04-25,6,0,710,45
jan-farsky,2021-04-25,1,0,90,2
milos-zeman,2021-04-25,4,0,88,0
miroslav-kalousek,2021-04-25,3,0,276,0
petr-fiala,2021-04-25,2,0,491,45
radek-vondracek,2021-04-25,1,0,91,0
tomio-okamura,2021-04-25,5,2,1141,669
vladimir-kremlik,2021-04-25,1,0,92,0
alena-schillerova,2021-04-24,2,0,357,11
andrej-babis,2021-04-24,5,1,704,45
jan-farsky,2021-04-24,1,0,89,2
martin-kupka,2021-04-24,1,0,97,0
miroslav-kalousek,2021-04-24,1,0,273,0
petr-fiala,2021-04-24,3,0,489,45
tomio-okamura,2021-04-24,7,3,1136,667
zdenek-hrib,2021-04-24,1,0,78,0
alena-schillerova,2021-04-23,3,0,355,11
andrej-babis,2021-04-23,5,0,699,44
jan-farsky,2021-04-23,1,0,88,2
martin-kupka,2021-04-23,3,0,96,0
miroslav-kalousek,2021-04-23,1,0,272,0
petr-fiala,2021-04-23,7,2,486,45
tomio-okamura,2021-04-23,8,3,1129,664
alena-schillerova,2021-04-22,3,0,352,11
alexandra-udzenija,2021-04-22,1,0,81,0
andrej-babis,2021-04-22,4,0,694,44
klara-dostalova,2021-04-22,2,0,60,0
martin-kupka,2021-04-22,1,0,93,0
miroslav-kalousek,2021-04-22,2,0,271,0
petr-fiala,2021-04-22,6,0,479,43
tomio-okamura,2021-04-22,6,5,1121,661
zdenek-hrib,2021-04-22,1,0,77,0
alena-schillerova,2021-04-21,1,0,349,11
andrej-babis,2021-04-21,3,0,690,44
jan-farsky,2021-04-21,1,0,87,2
martin-kupka,2021-04-21,1,0,92,0
milos-zeman,2021-04-21,2,0,84,0
petr-fiala,2021-04-21,6,0,473,43
radek-vondracek,2021-04-21,1,0,90,0
tomio-okamura,2021-04-21,7,4,1115,656
vladimir-kremlik,2021-04-21,2,0,91,0
zdenek-hrib,2021-04-21,3,0,76,0
alena-schillerova,2021-04-20,4,0,348,11
andrej-babis,2021-04-20,3,0,687,44
jan-farsky,2021-04-20,2,0,86,2
klara-dostalova,2021-04-20,1,0,58,0
martin-kupka,2021-04-20,1,0,91,0
milos-zeman,2021-04-20,1,0,82,0
miroslav-kalousek,2021-04-20,3,0,269,0
petr-fiala,2021-04-20,4,0,467,43
tomio-okamura,2021-04-20,5,2,1108,652
vladimir-kremlik,2021-04-20,3,0,89,0
zdenek-hrib,2021-04-20,1,0,73,0
alena-schillerova,2021-04-19,4,0,344,11
andrej-babis,2021-04-19,2,0,684,44
jan-farsky,2021-04-19,3,0,84,2
klara-dostalova,2021-04-19,1,0,57,0
miroslav-kalousek,2021-04-19,4,0,266,0
petr-fiala,2021-04-19,7,2,463,43
tomio-okamura,2021-04-19,8,4,1103,650
zdenek-hrib,2021-04-19,2,0,72,0
alena-schillerova,2021-04-18,1,0,340,11
alexandra-udzenija,2021-04-18,1,0,80,0
andrej-babis,2021-04-18,4,1,682,44
miroslav-kalousek,2021-04-18,3,0,262,0
petr-fiala,2021-04-18,7,2,456,41
tomio-okamura,2021-04-18,7,2,1095,646
vladimir-kremlik,2021-04-18,1,0,86,0
zdenek-hrib,2021-04-18,1,0,70,0
alena-schillerova,2021-04-17,2,0,339,11
alexandra-udzenija,2021-04-17,1,0,79,0
andrej-babis,2021-04-17,5,0,678,43
martin-kupka,2021-04-17,2,0,90,0
miroslav-kalousek,2021-04-17,1,0,259,0
petr-fiala,2021-04-17,7,0,449,39
tomio-okamura,2021-04-17,7,4,1088,644
zdenek-hrib,2021-04-17,2,0,69,0
alena-schillerova,2021-04-16,3,0,337,11
alexandra-udzenija,2021-04-16,1,0,78,0
andrej-babis,2021-04-16,13,0,673,43
martin-kupka,2021-04-16,1,0,88,0
miroslav-kalousek,2021-04-16,1,0,258,0
petr-fiala,2021-04-16,4,0,442,39
radek-vondracek,2021-04-16,1,0,89,0
tomio-okamura,2021-04-16,6,3,1081,640
vladimir-kremlik,2021-04-16,2,0,85,0
alena-schillerova,2021-04-15,4,0,334,11
alexandra-udzenija,2021-04-15,1,0,77,0
andrej-babis,2021-04-15,10,0,660,43
jan-farsky,2021-04-15,1,0,81,2
martin-kupka,2021-04-15,1,0,87,0
milos-zeman,2021-04-15,3,0,81,0
miroslav-kalousek,2021-04-15,2,0,257,0
petr-fiala,2021-04-15,4,2,438,39
radek-vondracek,2021-04-15,1,0,88,0
tomio-okamura,2021-04-15,9,7,1075,637
vladimir-kremlik,2021-04-15,1,0,83,0
zdenek-hrib,2021-04-15,1,0,67,0
alena-schillerova,2021-04-14,4,0,330,11
alexandra-udzenija,2021-04-14,2,0,76,0
andrej-babis,2021-04-14,4,0,650,43
jan-farsky,2021-04-14,1,0,80,2
klara-dostalova,2021-04-14,1,0,56,0
martin-kupka,2021-04-14,1,0,86,0
miroslav-kalousek,2021-04-14,2,0,255,0
petr-fiala,2021-04-14,4,0,434,37
radek-vondracek,2021-04-14,2,0,87,0
tomio-okamura,2021-04-14,7,4,1066,630
alena-schillerova,2021-04-13,2,0,326,11
alexandra-udzenija,2021-04-13,1,0,74,0
andrej-babis,2021-04-13,3,0,646,43
jan-farsky,2021-04-13,1,0,79,2
klara-dostalova,2021-04-13,1,0,55,0
martin-kupka,2021-04-13,1,0,85,0
miroslav-kalousek,2021-04-13,3,0,253,0
petr-fiala,2021-04-13,7,0,430,37
tomio-okamura,2021-04-13,9,3,1059,626
vladimir-kremlik,2021-04-13,1,0,82,0
zdenek-hrib,2021-04-13,1,0,66,0
alena-schillerova,2021-04-12,4,0,324,11
andrej-babis,2021-04-12,3,0,643,43
jan-farsky,2021-04-12,1,0,78,2
miroslav-kalousek,2021-04-12,3,0,250,0
petr-fiala,2021-04-12,3,0,423,37
tomio-okamura,2021-04-12,9,5,1050,623
alena-schillerova,2021-04-11,1,0,320,11
andrej-babis,2021-04-11,2,0,640,43
martin-kupka,2021-04-11,2,0,84,0
milos-zeman,2021-04-11,2,0,78,0
miroslav-kalousek,2021-04-11,1,0,247,0
petr-fiala,2021-04-11,7,2,420,37
tomio-okamura,2021-04-11,7,5,1041,618
vladimir-kremlik,2021-04-11,2,0,81,0
zdenek-hrib,2021-04-11,1,0,65,0
alena-schillerova,2021-04-10,1,0,319,11
andrej-babis,2021-04-10,3,0,638,43
martin-kupka,2021-04-10,1,0,82,0
petr-fiala,2021-04-10,1,0,413,35
tomio-okamura,2021-04-10,4,2,1034,613
alena-schillerova,2021-04-09,3,0,318,11
alexandra-udzenija,2021-04-09,1,0,73,0
andrej-babis,2021-04-09,7,0,635,43
jan-farsky,2021-04-09,1,0,77,2
klara-dostalova,2021-04-09,1,0,54,0
martin-kupka,2021-04-09,1,0,81,0
milos-zeman,2021-04-09,1,0,76,0
miroslav-kalousek,2021-04-09,1,0,246,0
petr-fiala,2021-04-09,2,0,412,35
tomio-okamura,2021-04-09,6,2,1030,611
alena-schillerova,2021-04-08,1,0,315,11
andrej-babis,2021-04-08,5,0,628,43
miroslav-kalousek,2021-04-08,2,0,245,0
petr-fiala,2021-04-08,2,0,410,35
radek-vondracek,2021-04-08,1,0,85,0
tomio-okamura,2021-04-08,6,2,1024,609
vladimir-kremlik,2021-04-08,2,0,79,0
alena-schillerova,2021-04-07,3,0,314,11
alexandra-udzenija,2021-04-07,1,0,72,0
andrej-babis,2021-04-07,4,0,623,43
jan-farsky,2021-04-07,1,0,76,2
klara-dostalova,2021-04-07,1,0,53,0
martin-kupka,2021-04-07,2,0,80,0
milos-zeman,2021-04-07,3,0,75,0
miroslav-kalousek,2021-04-07,2,0,243,0
petr-fiala,2021-04-07,3,0,408,35
radek-vondracek,2021-04-07,1,0,84,0
tomio-okamura,2021-04-07,8,5,1018,607
vladimir-kremlik,2021-04-07,1,0,77,0
alena-schillerova,2021-04-06,3,0,311,11
alexandra-udzenija,2021-04-06,1,0,71,0
andrej-babis,2021-04-06,4,0,619,43
jan-farsky,2021-04-06,1,0,75,2
klara-dostalova,2021-04-06,3,0,52,0
martin-kupka,2021-04-06,1,0,78,0
milos-zeman,2021-04-06,1,0,72,0
miroslav-kalousek,2021-04-06,1,0,241,0
petr-fiala,2021-04-06,3,0,405,35
radek-vondracek,2021-04-06,1,0,83,0
tomio-okamura,2021-04-06,8,3,1010,602
vladimir-kremlik,2021-04-06,1,0,76,0
zdenek-hrib,2021-04-06,1,0,64,0
alena-schillerova,2021-04-05,2,1,308,11
alexandra-udzenija,2021-04-05,1,0,70,0
andrej-babis,2021-04-05,2,0,615,43
petr-fiala,2021-04-05,1,0,402,35
radek-vondracek,2021-04-05,1,0,82,0
tomio-okamura,2021-04-05,4,2,1002,599
zdenek-hrib,2021-04-05,1,0,63,0
alena-schillerova,2021-04-04,1,0,306,10
alexandra-udzenija,2021-04-04,1,0,69,0
andrej-babis,2021-04-04,3,0,613,43
klara-dostalova,2021-04-04,1,0,49,0
miroslav-kalousek,2021-04-04,1,0,240,0
petr-fiala,2021-04-04,2,0,401,35
tomio-okamura,2021-04-04,5,1,998,597
alena-schillerova,2021-04-03,1,0,305,10
andrej-babis,2021-04-03,2,0,610,43
petr-fiala,2021-04-03,1,0,399,35
tomio-okamura,2021-04-03,5,3,993,596
vladimir-kremlik,2021-04-03,1,0,75,0
alena-schillerova,2021-04-02,3,0,304,10
andrej-babis,2021-04-02,6,1,608,43
klara-dostalova,2021-04-02,1,0,48,0
martin-kupka,2021-04-02,1,0,77,0
miroslav-kalousek,2021-04-02,4,0,239,0
petr-fiala,2021-04-02,3,0,398,35
radek-vondracek,2021-04-02,1,0,81,0
tomio-okamura,2021-04-02,7,5,988,593
zdenek-hrib,2021-04-02,1,0,62,0
alena-schillerova,2021-04-01,3,1,301,10
andrej-babis,2021-04-01,5,0,602,42
jan-farsky,2021-04-01,1,0,74,2
karel-havlicek-3,2021-04-01,1,0,328,0
klara-dostalova,2021-04-01,4,0,47,0
martin-kupka,2021-04-01,2,0,76,0
milos-zeman,2021-04-01,1,0,71,0
miroslav-kalousek,2021-04-01,3,0,235,0
petr-fiala,2021-04-01,4,0,395,35
radek-vondracek,2021-04-01,2,0,80,0
tomio-okamura,2021-04-01,9,4,981,588
vladimir-kremlik,2021-04-01,1,0,74,0
zdenek-hrib,2021-04-01,1,0,61,0
alena-schillerova,2021-03-31,2,0,298,9
alexandra-udzenija,2021-03-31,2,0,68,0
andrej-babis,2021-03-31,3,0,597,42
karel-havlicek-3,2021-03-31,2,0,327,0
klara-dostalova,2021-03-31,1,0,43,0
martin-kupka,2021-03-31,2,0,74,0
milos-zeman,2021-03-31,2,0,70,0
petr-fiala,2021-03-31,2,0,391,35
tomio-okamura,2021-03-31,7,1,972,584
vladimir-kremlik,2021-03-31,1,0,73,0
zdenek-hrib,2021-03-31,2,0,60,0
alena-schillerova,2021-03-30,2,0,296,9
alexandra-udzenija,2021-03-30,1,0,66,0
andrej-babis,2021-03-30,7,0,594,42
jan-farsky,2021-03-30,1,0,73,2
karel-havlicek-3,2021-03-30,2,0,325,0
martin-kupka,2021-03-30,1,0,72,0
milos-zeman,2021-03-30,2,0,68,0
miroslav-kalousek,2021-03-30,1,0,232,0
petr-fiala,2021-03-30,5,2,389,35
tomio-okamura,2021-03-30,7,5,965,583
zdenek-hrib,2021-03-30,1,0,58,0
alena-schillerova,2021-03-29,2,0,294,9
andrej-babis,2021-03-29,1,0,587,42
karel-havlicek-3,2021-03-29,1,0,323,0
klara-dostalova,2021-03-29,1,0,42,0
martin-kupka,2021-03-29,1,0,71,0
milos-zeman,2021-03-29,1,0,66,0
miroslav-kalousek,2021-03-29,2,0,231,0
petr-fiala,2021-03-29,5,2,384,33
radek-vondracek,2021-03-29,2,0,78,0
tomio-okamura,2021-03-29,8,4,958,578
alena-schillerova,2021-03-28,3,1,292,9
alexandra-udzenija,2021-03-28,1,0,65,0
andrej-babis,2021-03-28,6,2,586,42
klara-dostalova,2021-03-28,1,0,41,0
milos-zeman,2021-03-28,1,0,65,0
petr-fiala,2021-03-28,2,0,379,31
tomio-okamura,2021-03-28,7,5,950,574
zdenek-hrib,2021-03-28,1,0,57,0
alexandra-udzenija,2021-03-27,1,0,64,0
karel-havlicek-3,2021-03-27,1,0,322,0
martin-kupka,2021-03-27,2,0,70,0
miroslav-kalousek,2021-03-27,3,0,229,0
petr-fiala,2021-03-27,1,0,377,31
tomio-okamura,2021-03-27,6,2,943,569
alena-schillerova,2021-03-26,3,0,289,8
alexandra-udzenija,2021-03-26,1,0,63,0
andrej-babis,2021-03-26,7,0,580,40
jan-farsky,2021-03-26,1,0,72,2
karel-havlicek-3,2021-03-26,5,0,321,0
klara-dostalova,2021-03-26,1,0,40,0
martin-kupka,2021-03-26,2,0,68,0
miroslav-kalousek,2021-03-26,2,0,226,0
petr-fiala,2021-03-26,8,4,376,31
tomio-okamura,2021-03-26,8,5,937,567
alena-schillerova,2021-03-25,2,0,286,8
andrej-babis,2021-03-25,8,0,573,40
karel-havlicek-3,2021-03-25,3,0,316,0
klara-dostalova,2021-03-25,1,0,39,0
martin-kupka,2021-03-25,1,0,66,0
miroslav-kalousek,2021-03-25,2,0,224,0
petr-fiala,2021-03-25,4,0,368,27
tomio-okamura,2021-03-25,5,1,929,562
vladimir-kremlik,2021-03-25,4,0,72,0
alena-schillerova,2021-03-24,4,0,284,8
alexandra-udzenija,2021-03-24,1,0,62,0
andrej-babis,2021-03-24,8,0,565,40
jan-farsky,2021-03-24,1,0,71,2
karel-havlicek-3,2021-03-24,2,0,313,0
klara-dostalova,2021-03-24,1,0,38,0
martin-kupka,2021-03-24,3,0,65,0
